shape_id,shape_pt_sequence,shape_pt_lon,shape_pt_lat
shp1,0,174.767029,-36.84444
shp1,1,174.767401,-36.843364
shp1,2,174.768695,-36.843668
shp1,3,174.768113,-36.845003
shp1,4,174.767631,-36.844886
shp1,5,174.766853,-36.844619
shp1,6,174.765414,-36.849031
shp1,7,174.763086,-36.854224
shp1,8,174.762292,-36.853955
shp1,9,174.761962,-36.853794
shp1,10,174.758882,-36.856034
shp1,11,174.759072,-36.857619
shp1,12,174.760359,-36.857912
shp1,13,174.76158,-36.857914
shp1,14,174.765362,-36.848887
shp1,15,174.767029,-36.84444
shp2,0,174.744138,-36.847422
shp2,1,174.743802,-36.848536
shp2,2,174.744437,-36.850401
shp2,3,174.744949,-36.85224
shp2,4,174.745351,-36.853356
shp2,5,174.746586,-36.856383
shp2,6,174.749513,-36.857891
shp2,7,174.75102,-36.858745
shp2,8,174.7528,-36.859625
shp2,9,174.754449,-36.858743
shp2,10,174.758345,-36.857714
shp2,11,174.759975,-36.857934
shp2,12,174.762143,-36.857998
shp2,13,174.762377,-36.857951
shp2,14,174.763637,-36.858627
shp2,15,174.767094,-36.860498
shp2,16,174.770286,-36.861276
shp2,17,174.771142,-36.863454
shp2,18,174.771209,-36.864033
shp2,19,174.770684,-36.866002
shp2,20,174.775142,-36.866991
shp2,21,174.777979,-36.86755
shp2,22,174.778222,-36.867546
shp2,23,174.77908,-36.864907
shp2,24,174.779162,-36.864662
shp2,25,174.781841,-36.86199
shp2,26,174.782643,-36.860773
shp2,27,174.782887,-36.858941
shp2,28,174.781213,-36.856564
shp2,29,174.778722,-36.852603
shp2,30,174.778063,-36.851994
shp2,31,174.775938,-36.851178
shp2,32,174.774518,-36.850486
shp2,33,174.774569,-36.849787
shp2,34,174.774394,-36.848658
shp2,35,174.773665,-36.847417
shp2,36,174.77268,-36.84645
shp2,37,174.77176,-36.845896
shp2,38,174.77093,-36.845632
shp2,39,174.769794,-36.84549
shp2,40,174.767472,-36.844944
shp2,41,174.765344,-36.84428
shp2,42,174.764025,-36.844294
shp2,43,174.76239,-36.844776
shp2,44,174.761424,-36.845411
shp2,45,174.759115,-36.845826
shp2,46,174.756675,-36.846161
shp2,47,174.752991,-36.845157
shp2,48,174.751725,-36.8471
shp2,49,174.751048,-36.84825
shp2,50,174.749652,-36.848449
shp2,51,174.7479,-36.848519
shp2,52,174.746635,-36.847883
shp2,53,174.745532,-36.847517
shp2,54,174.744298,-36.847422
