trip_id,stop_id,stop_sequence,arrival_time,departure_time
t#rA#weekday_peak_1#07:00:00#1#0,stp#shp1#1,0,07:00:00,07:00:00
t#rA#weekday_peak_1#07:00:00#1#0,stp#shp1#0,1,07:12:17,07:12:17
t#rA#weekday_peak_1#07:00:00#1#1,stp#shp1#1,0,07:05:00,07:05:00
t#rA#weekday_peak_1#07:00:00#1#1,stp#shp1#0,1,07:17:17,07:17:17
t#rA#weekday_peak_1#07:00:00#1#2,stp#shp1#1,0,07:10:00,07:10:00
t#rA#weekday_peak_1#07:00:00#1#2,stp#shp1#0,1,07:22:17,07:22:17
t#rA#weekday_peak_1#07:00:00#1#3,stp#shp1#1,0,07:15:00,07:15:00
t#rA#weekday_peak_1#07:00:00#1#3,stp#shp1#0,1,07:27:17,07:27:17
t#rA#weekday_peak_1#07:00:00#1#4,stp#shp1#1,0,07:20:00,07:20:00
t#rA#weekday_peak_1#07:00:00#1#4,stp#shp1#0,1,07:32:17,07:32:17
t#rA#weekday_peak_1#07:00:00#1#5,stp#shp1#1,0,07:25:00,07:25:00
t#rA#weekday_peak_1#07:00:00#1#5,stp#shp1#0,1,07:37:17,07:37:17
t#rA#weekday_peak_1#07:00:00#1#6,stp#shp1#1,0,07:30:00,07:30:00
t#rA#weekday_peak_1#07:00:00#1#6,stp#shp1#0,1,07:42:17,07:42:17
t#rA#weekday_peak_1#07:00:00#1#7,stp#shp1#1,0,07:35:00,07:35:00
t#rA#weekday_peak_1#07:00:00#1#7,stp#shp1#0,1,07:47:17,07:47:17
t#rA#weekday_peak_1#07:00:00#1#8,stp#shp1#1,0,07:40:00,07:40:00
t#rA#weekday_peak_1#07:00:00#1#8,stp#shp1#0,1,07:52:17,07:52:17
t#rA#weekday_peak_1#07:00:00#1#9,stp#shp1#1,0,07:45:00,07:45:00
t#rA#weekday_peak_1#07:00:00#1#9,stp#shp1#0,1,07:57:17,07:57:17
t#rA#weekday_peak_1#07:00:00#1#10,stp#shp1#1,0,07:50:00,07:50:00
t#rA#weekday_peak_1#07:00:00#1#10,stp#shp1#0,1,08:02:17,08:02:17
t#rA#weekday_peak_1#07:00:00#1#11,stp#shp1#1,0,07:55:00,07:55:00
t#rA#weekday_peak_1#07:00:00#1#11,stp#shp1#0,1,08:07:17,08:07:17
t#rA#weekday_peak_1#07:00:00#1#12,stp#shp1#1,0,08:00:00,08:00:00
t#rA#weekday_peak_1#07:00:00#1#12,stp#shp1#0,1,08:12:17,08:12:17
t#rA#weekday_peak_1#07:00:00#1#13,stp#shp1#1,0,08:05:00,08:05:00
t#rA#weekday_peak_1#07:00:00#1#13,stp#shp1#0,1,08:17:17,08:17:17
t#rA#weekday_peak_1#07:00:00#1#14,stp#shp1#1,0,08:10:00,08:10:00
t#rA#weekday_peak_1#07:00:00#1#14,stp#shp1#0,1,08:22:17,08:22:17
t#rA#weekday_peak_1#07:00:00#1#15,stp#shp1#1,0,08:15:00,08:15:00
t#rA#weekday_peak_1#07:00:00#1#15,stp#shp1#0,1,08:27:17,08:27:17
t#rA#weekday_peak_1#07:00:00#1#16,stp#shp1#1,0,08:20:00,08:20:00
t#rA#weekday_peak_1#07:00:00#1#16,stp#shp1#0,1,08:32:17,08:32:17
t#rA#weekday_peak_1#07:00:00#1#17,stp#shp1#1,0,08:25:00,08:25:00
t#rA#weekday_peak_1#07:00:00#1#17,stp#shp1#0,1,08:37:17,08:37:17
t#rA#weekday_peak_1#07:00:00#1#18,stp#shp1#1,0,08:30:00,08:30:00
t#rA#weekday_peak_1#07:00:00#1#18,stp#shp1#0,1,08:42:17,08:42:17
t#rA#weekday_peak_1#07:00:00#1#19,stp#shp1#1,0,08:35:00,08:35:00
t#rA#weekday_peak_1#07:00:00#1#19,stp#shp1#0,1,08:47:17,08:47:17
t#rA#weekday_peak_1#07:00:00#1#20,stp#shp1#1,0,08:40:00,08:40:00
t#rA#weekday_peak_1#07:00:00#1#20,stp#shp1#0,1,08:52:17,08:52:17
t#rA#weekday_peak_1#07:00:00#1#21,stp#shp1#1,0,08:45:00,08:45:00
t#rA#weekday_peak_1#07:00:00#1#21,stp#shp1#0,1,08:57:17,08:57:17
t#rA#weekday_peak_1#07:00:00#1#22,stp#shp1#1,0,08:50:00,08:50:00
t#rA#weekday_peak_1#07:00:00#1#22,stp#shp1#0,1,09:02:17,09:02:17
