stop_code,stop_lat,zone_id,stop_lon,stop_id,parent_station,stop_desc,stop_name,location_type
0104,-36.874990000000004,merged_28,174.73521000000002,stop_0001,,,Morningside Train Station,0
0105,-36.89714,merged_29,174.6991,stop_0002,,,Avondale Train Station,0
0115,-36.86972,merged_28,174.77883,stop_0003,,,Newmarket Train Station,0
0118,-36.86796,merged_29,174.75898999999998,stop_0004,,,Mt Eden Train Station,0
0119,-36.87768,merged_29,174.72045,stop_0005,,,Baldwin Ave Train Station,0
0120,-36.88478,merged_29,174.71409,stop_0006,,,Mt Albert Train Station,0
0121,-36.89687,merged_28,174.63201,stop_0007,,,Sunnyvale Train Station,0
0122,-36.87251,merged_29,174.74453,stop_0008,,,Kingsland Train Station,0
0123,-36.91067,merged_28,174.66707,stop_0009,,,Fruitvale Rd Train Station,0
0124,-36.910270000000004,merged_28,174.65317,stop_0010,,,Glen Eden Train Station,0
0125,-36.881009999999996,merged_28,174.63097,stop_0011,,,Henderson Train Station,0
0126,-36.873470000000005,merged_28,174.62082,stop_0012,,,Sturges Rd Train Station,0
0127,-36.86618,merged_28,174.5763,stop_0013,,,Swanson Train Station,0
0128,-36.867940000000004,merged_28,174.60334,stop_0014,,,Ranui Train Station,0
0129,-36.90939,merged_29,174.68405,stop_0015,,,New Lynn Train Station,0
0133,-36.84429,merged_28,174.76848,stop_0016,,,Britomart Train Station,0
0140,-36.854729999999996,merged_29,174.7774,stop_0017,,,Parnell Train Station,0
0277,-36.86561,merged_29,174.76984,stop_0018,,,Grafton Train Station,0
10007,-36.59043,merged_29,174.67467,stop_0019,,,Tauranga Place/Maygrove Village,1
10008,-36.583059999999996,merged_28,174.68597,stop_0020,,,West Hoe Rd/Evelyn Page Retirement Village,1
10036,-36.89758,merged_29,174.8073,stop_0021,,,/Ellerslie,1
10064,-36.76688,merged_28,174.49653999999998,stop_0022,,,State Highway 16/Waimauku Park and Ride,1
10106,-36.78863,merged_28,174.67165,stop_0023,,,/Hobsonville Point Ferry Wharf,1
10132,-36.89801,merged_29,174.6998,stop_0024,,,Rail Bus Stops St Jude St,1
10134,-36.91065,merged_29,174.66869,stop_0025,,,Fruitvale Rd Station Rail Bus Stops,1
10136,-36.89938,merged_28,174.63133,stop_0026,,,Seymour Rd/Sunnyvale Station,1
10138,-36.86792,merged_29,174.60411000000002,stop_0027,,,Ranui Station Rail Bus Stops,1
10140,-36.8492,merged_29,174.54432,stop_0028,,,Township Rd/Waitakere Village,1
10142,-36.58347,merged_29,174.68119,stop_0029,,,Grovenor Drive/The Ritz,1
10143,-36.58598,merged_28,174.68155,stop_0030,,,/63 Grovenor Drive,1
10149,-36.90315,merged_28,174.9336,stop_0031,,,Cook St/Gibraltar St,1
10152,-36.78856,merged_28,175.09714,stop_0032,,,Waiheke Rd near Belle Tce,1
10196,-37.02352,merged_29,174.89562,stop_0033,,,Manurewa Interchange,1
10213,-37.192609999999995,merged_29,174.76004,stop_0034,,,Glenbrook Rd/Glenbrook Station Rd,1
10282,-36.94571,merged_29,174.96481,stop_0035,,,Whitford Maraetai Rd/Whitford Village,1
1031,-36.85241,merged_29,174.77051,stop_0036,stop_0122,,Opp 8 Grafton Rd,0
10344,-36.61197,merged_29,174.7786,stop_0037,,,Whangaparaoa Rd/Gulf Harbour Drive Roundabout,1
1043,-36.87604,merged_28,174.75137,stop_0038,stop_0400,,Stop C Valley Rd Shops,0
1049,-36.862120000000004,merged_28,174.70865,stop_0039,stop_0607,,243 Meola Rd,0
10505,-36.819320000000005,merged_29,175.05815,stop_0040,,,Rocky Bay,1
1051,-36.85908,merged_28,174.71487,stop_0041,stop_0606,,Meola Rd Opp MOTAT 2,0
10511,-37.01715,merged_28,174.94016000000002,stop_0042,,,Alfriston Primary,1
10512,-37.01813,merged_28,174.91814,stop_0043,,,Alfriston College,1
10524,-36.72538,merged_28,174.69602,stop_0044,,,Dairy Flat Highway/Albany Village,1
1054,-36.85966,merged_28,174.71392,stop_0045,stop_0606,,Meola Rd outside MOTAT 2,0
1056,-36.86229,merged_28,174.70846,stop_0046,stop_0607,,240 Meola Rd,0
1076,-36.88968,merged_29,174.75884,stop_0047,stop_0405,,Opp 59 Balmoral Rd,0
1077,-36.88347,merged_28,174.73201,stop_0048,stop_0699,,65 St Lukes Rd,0
1079,-36.84877,merged_29,174.75734,stop_0049,stop_0608,,137 Wellesley St,0
1081,-36.889720000000004,merged_29,174.6781,stop_0050,stop_0201,,95 Avondale Rd,0
