unit_id;unit_name;route_id;route_desc;weekday_peak_headway;weekday_offpeak_headway;weekday_night_headway;saturday_day_headway;saturday_night_headway;sunday_day_headway;sunday_night_headway
1;City LINK;010;City Link, Wynyard Quarter to Karangahape Rd via Queen St;5;7.5;10;7.5;10;7.5;10
2;Inner LINK;020;Inner Link. Britomart, Three Lamps, Ponsonby, Grafton, Newmarket, Parnell and to Britomart;10;15;15;15;15;15;15
3;Richmond Road;030;Grey Lynn to Auckland University via Richmond Rd and Grey Lynn;10;15;30;30;30;30;30
3;Richmond Road;031;St Lukes to Auckland University via Richmond Rd and Grey Lynn;30;30;30;30;30;30;30
3;Richmond Road;032;Westmere to Auckland University via Williamson Ave and Freemans Bay;15;30;30;30;30;30;30
3;Richmond Road;033;Benson Rd to Karangahape Rd via Remuera, Hobson Bay, Eastern Parnell;30;60;60;60;60;60;60
4;Great North Road;040;New Lynn to City via Great North Rd;6;10;15;15;15;15;15
6;New North Road;060;Avondale Peninsula to Wynyard Quarter via Rosebank Rd, St Lukes and Auckalnd;5;12;15;15;15;15;15
7;Sandringham Road;070;New Lynn to Wynyard Quarter via Sandringham Rd and Auckland University;10;15;15;15;15;15;30
7;Sandringham Road;071;Avondale, New Windsor to Wynyard Quarter via St Lukes and Auckland University;15;;;;;;
7;Sandringham Road;072;Avondale, New Windsor to St Lukes;30;30;60;30;30;30;30
8;Dominion Road;080;New Lynn to Wynyard Quarter via White Swan Rd Dominion Rd and Auckland University;10;15;15;15;15;15;15
8;Dominion Road;081;Lynfield to Wynyard Quarter via Dominion Rd Extension, Dominion Rd and Auckland University;10;15;15;15;15;15;15
8;Dominion Road;082;Mt Roskill to Wynyard Quarter via Dominion Road;10;15;;;;;
9;Mt Eden Road;090;Waikowhai via Hillsborough Rd to Britomart via Mt Eden Rd and Symonds St;5;15;15;15;15;15;15
9;Mt Eden Road;091;Waikowhai via Melrose Rd to Britomart via Mt Eden Rd and Symonds St;5;15;15;15;15;15;15
10;Manukau Road;100;Onehunga to Wynyard Quarter via Manukau Rd;5;10;15;15;15;15;15
12;Remuera Road;120;Mt Albert to Glen Innes via Pt Chevalier, Herne Bay, Auckland University, Parnell and Remuera Rd;15;15;15;15;15;15;15
12;Remuera Road;121;Pt. Chevalier Beach to City and Auckland University, via Jervois Road;15;;;;;;
12;Remuera Road;122;Meadowbank to Ponsonby via City and Auckland University;15;;;;;;
